topic,argument,label,tokenized_argument,new_id
home schoolers,"I echo the sentiments of others in this thread. As a childless person, it infuriates me to read these arguments. The thought of families getting a $5,000 tax credit -- a payment of $5,000 -- because they don't take advantage of taxpayer-funded schools is outrageous. I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of. Shouldn't I get a tax credit? This philosophy of not paying for public services you don't directly use is poisonous. If you have a huge yard with playground equipment, should you get a tax credit for not using public parks? If you buy books instead of checking them out the library, should you get a tax credit? If you don't have a car and don't use highways, should you get a tax credit? Aside from that, this author's notion that ignoring the Constitution is what got us $14 trillion into debt is ludicrous. A decade of irresponsible tax cuts, two multi-trillion dollar wars and the worst recession of our lifetime has much more to do with it.",0,"I echo the sentiments of others in this thread . As a childless person , it infuriates me to read these arguments . The thought of families getting a $ 5,000 tax credit -- a payment of $ 5,000 -- because they do n't take advantage of taxpayer - funded schools is outrageous . I pay thousands of dollars a month in taxes for schools that I will never directly take advantage of . Should n't I get a tax credit ? This philosophy of not paying for public services you do n't directly use is poisonous . If you have a huge yard with playground equipment , should you get a tax credit for not using public parks ? If you buy books instead of checking them out the library , should you get a tax credit ? If you do n't have a car and do n't use highways , should you get a tax credit ? Aside from that , this author 's notion that ignoring the Constitution is what got us $ 14 trillion into debt is ludicrous . A decade of irresponsible tax cuts , two multi - trillion dollar wars and the worst recession of our lifetime has much more to do with it .",9551
immigration,"Most places I personally have occasion to visit, I note Lations are doing most of the manual labor task. Our family recently built a large home in Austin. As we watched construction all craftsmen including those who constructed a large complicated swimming pool area where all Latino. Both the home in Austin and another in Palm beach Gardens Florida I note, all the garbage collection , yard maintainece, pool service, house cleaning, is all folks of Latino origin. I also understand while I haven't ever seen it, most of our frutis and vegtables are harvested by Lation's, as are our meat and poultry processing plants. What does this tell us? It tells me blacks and white people either wont work for these wages, or won't do that type work.",1,"Most places I personally have occasion to visit , I note Lations are doing most of the manual labor task . Our family recently built a large home in Austin . As we watched construction all craftsmen including those who constructed a large complicated swimming pool area where all Latino . Both the home in Austin and another in Palm beach Gardens Florida I note , all the garbage collection , yard maintainece , pool service , house cleaning , is all folks of Latino origin . I also understand while I have n't ever seen it , most of our frutis and vegtables are harvested by Lation 's , as are our meat and poultry processing plants . What does this tell us ? It tells me blacks and white people either wo nt work for these wages , or wo n't do that type work .",9555
mother teresa,"Someone who insists on using blunt needles on poor patients in order to save money while having millions in the back, can hardly be called a saint! Mother Teresa wallowed in the pain and suffering, mainly the pain and suffering of poor people - she thought it was good for them.",0,"Someone who insists on using blunt needles on poor patients in order to save money while having millions in the back , can hardly be called a saint ! Mother Teresa wallowed in the pain and suffering , mainly the pain and suffering of poor people - she thought it was good for them .",9562
the u.s. embassy,"If the USA Embassy is truly 100% constantly strong and unified in supporting Israel's right to exist, Israel's right to be a Jewish nation and Jerusalem as Israel's eternal capital then yes and amen, stand bold and strong with the uncompromised rights of Israel. USA Embassy's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel's capitol. I will require the tangible consistent defense, offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root. It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice. I don't claim to be an expert, these are my prayerful thoughts on this topic. I believe that Reverend Robert Stearns speaks with wisdom, knowledge and insight. Above all may G-d's righteous holy will be done. -Reverend Tracie Plungis, NJ, USA",1,"If the USA Embassy is truly 100 % constantly strong and unified in supporting Israel 's right to exist , Israel 's right to be a Jewish nation and Jerusalem as Israel 's eternal capital then yes and amen , stand bold and strong with the uncompromised rights of Israel . USA Embassy 's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel 's capitol . I will require the tangible consistent defense , offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root . It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice . I do n't claim to be an expert , these are my prayerful thoughts on this topic . I believe that Reverend Robert Stearns speaks with wisdom , knowledge and insight . Above all may G - d 's righteous holy will be done . -Reverend Tracie Plungis , NJ , USA",9654
jerusalem,"If the USA Embassy is truly 100% constantly strong and unified in supporting Israel's right to exist, Israel's right to be a Jewish nation and Jerusalem as Israel's eternal capital then yes and amen, stand bold and strong with the uncompromised rights of Israel. USA Embassy's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel's capitol. I will require the tangible consistent defense, offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root. It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice. I don't claim to be an expert, these are my prayerful thoughts on this topic. I believe that Reverend Robert Stearns speaks with wisdom, knowledge and insight. Above all may G-d's righteous holy will be done. -Reverend Tracie Plungis, NJ, USA",1,"If the USA Embassy is truly 100 % constantly strong and unified in supporting Israel 's right to exist , Israel 's right to be a Jewish nation and Jerusalem as Israel 's eternal capital then yes and amen , stand bold and strong with the uncompromised rights of Israel . USA Embassy 's throughout the world are in the capitols and this would be a show of consistent acceptance of Israel 's capitol . I will require the tangible consistent defense , offence and support in action to ensure that the move has a righteous and powerful effect with no negative consequence having any ability to strike or take root . It is important to consider that if the USA Embassy is compromised behind closed doors then placing that compromise voice and stance within Jerusalem will bring about dishonor and disservice . I do n't claim to be an expert , these are my prayerful thoughts on this topic . I believe that Reverend Robert Stearns speaks with wisdom , knowledge and insight . Above all may G - d 's righteous holy will be done . -Reverend Tracie Plungis , NJ , USA",9663
beachfront homes,"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge. I live on the Boise River in an area that has kept access open to the public. Just downstream, a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard. This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations. Last time the river became a bit unruly, the national guard was called out to move earth and place sandbags to protect these areas. If you receive or need public help, then you need to provide public access.",0,"Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge . I live on the Boise River in an area that has kept access open to the public . Just downstream , a fence cuts off access to the river thanks to a handful of homeowners have turned the banks of the river into their private back yard . This would be impossible without the publicly funded Corp of Engineers and other public agencies that control river levels through dams and regulations . Last time the river became a bit unruly , the national guard was called out to move earth and place sandbags to protect these areas . If you receive or need public help , then you need to provide public access .",9683
israel,"America invented nuclear weapons and is the only nation to use them. America has a huge nuclear arsenal. America has invaded and occupied Muslim nations Israel has nuclear weapons and is not a party to the Nuclear Non-Proliferation Treaty(NPT). Israel has occupied, besieged and blockaded Palestinian Land along with making Israeli Arabs second class citizens. Iran is a party to the NPT and has no nuclear weapons. Iran is not ocuupying any other nations land. ""Why Iran Should Get the Bomb"" Kenneth Waltz Foreign Affairs July/August 2012",0,"America invented nuclear weapons and is the only nation to use them . America has a huge nuclear arsenal . America has invaded and occupied Muslim nations Israel has nuclear weapons and is not a party to the Nuclear Non - Proliferation Treaty(NPT ) . Israel has occupied , besieged and blockaded Palestinian Land along with making Israeli Arabs second class citizens . Iran is a party to the NPT and has no nuclear weapons . Iran is not ocuupying any other nations land . "" Why Iran Should Get the Bomb "" Kenneth Waltz Foreign Affairs July / August 2012",9686
vaccination,"Why does Jocelyn Elders support religious exemptions from vaccination requirements? This not only endangers public health, but also violates the Establishment Clause of the First Amendment in my opinion. I don't approve of any exemptions. But if religious exemptions are permitted under a state's law, than so also should non-religious exemptions. Providing preferential treatment solely for religion is unconstitutional. It would be like exempting churches--and only churches--from property taxes.",1,"Why does Jocelyn Elders support religious exemptions from vaccination requirements ? This not only endangers public health , but also violates the Establishment Clause of the First Amendment in my opinion . I do n't approve of any exemptions . But if religious exemptions are permitted under a state 's law , than so also should non - religious exemptions . Providing preferential treatment solely for religion is unconstitutional . It would be like exempting churches -- and only churches -- from property taxes .",9706
a tax break,"That's hooey. If parents who home school their children are entitled to a tax credit, then what about childless taxpayers who have to pay for public schools? Why shouldn't they receive a refund of the part of property taxes which goes toward local public schools, since they have neither contributed to the costs of operating those schools or derived benefits from them? Both private and home schooling are voluntary, and hence it is a choice that parents make to eschew the public school paid for by their taxes. Taxpayers shouldn't have to pay the additional amount for their decisions. If so, then childless taxpayers are entitled to similar benefits.",0,"That 's hooey . If parents who home school their children are entitled to a tax credit , then what about childless taxpayers who have to pay for public schools ? Why should n't they receive a refund of the part of property taxes which goes toward local public schools , since they have neither contributed to the costs of operating those schools or derived benefits from them ? Both private and home schooling are voluntary , and hence it is a choice that parents make to eschew the public school paid for by their taxes . Taxpayers should n't have to pay the additional amount for their decisions . If so , then childless taxpayers are entitled to similar benefits .",9753
government,"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.",1,"Allowing foreign airlines to serve domestic routes is definitely something that does n't get brought up enough . It 's funny how the domestic carriers are all for deregulation and increased competition in theory , but once outside foreign airlines are involved , they rely on what you rightfully point out is antiquated regulation . Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies . The airline industry is a monopolistic entity and should be treated as such . This means to be required to cooperate with certain regulations .",9771
airline industry,"Allowing foreign airlines to serve domestic routes is definitely something that doesn't get brought up enough. It's funny how the domestic carriers are all for deregulation and increased competition in theory, but once outside foreign airlines are involved, they rely on what you rightfully point out is antiquated regulation. Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies. The airline industry is a monopolistic entity and should be treated as such. This means to be required to cooperate with certain regulations.",0,"Allowing foreign airlines to serve domestic routes is definitely something that does n't get brought up enough . It 's funny how the domestic carriers are all for deregulation and increased competition in theory , but once outside foreign airlines are involved , they rely on what you rightfully point out is antiquated regulation . Fact is that Americans really only have a choice between four airlines for domestic travel and are subject to the whims of these companies . The airline industry is a monopolistic entity and should be treated as such . This means to be required to cooperate with certain regulations .",9779
