topic,argument,tokenized_argument,label
veganism,"Just wanted to add that I went to a vegan dinner once in CA for people interested in joining the vegan lifestyle. The food was interesting and very chewy, to the point where my jaw hurt. The regular members were all very thin and did not look particularly healthy. I was mildly chastised by several members for wearing leather sandals and for having a leather bag. Leather is a no-no. My overall impression of the event and the people there was that it was like a zealous religious cult with very strict rules.","Just wanted to add that I went to a vegan dinner once in CA for people interested in joining the vegan lifestyle . The food was interesting and very chewy , to the point where my jaw hurt . The regular members were all very thin and did not look particularly healthy . I was mildly chastised by several members for wearing leather sandals and for having a leather bag . Leather is a no - no . My overall impression of the event and the people there was that it was like a zealous religious cult with very strict rules .",0
motherhood,"I adopted at 40 and have no regrets. But I do wish sometimes that I had the strength I used to have a decade back. A late child allowed me to enjoy my career, travel the world and see all kinds of late night movies/plays and do trekking and a lot of other stuff that a lot of my friends just could not do because they were stuck at home with their babies. So, yes - delaying a baby definitely worked for me. My friends are now sending their kids off to college while I'm still teaching addition n subtraction - true. But I'm a happier person and a better mom because I'm not resenting my kid as the reason for not fulfilling my career ambitions or not having enjoyed my own space.","I adopted at 40 and have no regrets . But I do wish sometimes that I had the strength I used to have a decade back . A late child allowed me to enjoy my career , travel the world and see all kinds of late night movies / plays and do trekking and a lot of other stuff that a lot of my friends just could not do because they were stuck at home with their babies . So , yes - delaying a baby definitely worked for me . My friends are now sending their kids off to college while I 'm still teaching addition n subtraction - true . But I 'm a happier person and a better mom because I 'm not resenting my kid as the reason for not fulfilling my career ambitions or not having enjoyed my own space .",1
grade colleges,"It's good to see that the educational bureaucracy is falling into line behind this proposal. Laggards and doubters can surely be brought around by the prospect of generous federal grants to develop ratings systems models and protocols and test them on various institutional cohorts. The primary goal of education is, of course, is to produce uniform and interchangeable cogs for the economic machine, so that it will hum smoothly and predictably. A college ratings system will extend the infallible testing paradigm into whole new realms, taking our country to heretofore unimaginable new heights of sameness. The wise sages at the Business Roundtable and the Gates Foundation will love it. The great successes of the primary and secondary school testing models can now be applied to the entire educational system. Victory is almost in our grasp.","It 's good to see that the educational bureaucracy is falling into line behind this proposal . Laggards and doubters can surely be brought around by the prospect of generous federal grants to develop ratings systems models and protocols and test them on various institutional cohorts . The primary goal of education is , of course , is to produce uniform and interchangeable cogs for the economic machine , so that it will hum smoothly and predictably . A college ratings system will extend the infallible testing paradigm into whole new realms , taking our country to heretofore unimaginable new heights of sameness . The wise sages at the Business Roundtable and the Gates Foundation will love it . The great successes of the primary and secondary school testing models can now be applied to the entire educational system . Victory is almost in our grasp .",0
illegal labor,Of course their salaries should be raised. But this should be separated from the discussion about legality. Salaries should be raised and only legal workers should be employed. Its really a no brainer. And any discussion about only Mexicans being prepared to do this work so it has to be illegal is completely disingenuous.,Of course their salaries should be raised . But this should be separated from the discussion about legality . Salaries should be raised and only legal workers should be employed . Its really a no brainer . And any discussion about only Mexicans being prepared to do this work so it has to be illegal is completely disingenuous .,0
the u.s. embassy,"To reward Bibi Netanyahu for his aggressive and hostile actions by such a move would be criminal. It would make the removal of the embassy back to Tel Aviv by Trump's successor send a message we wouldn't want to send, but would find unavoidable if peace were to be achieved.","To reward Bibi Netanyahu for his aggressive and hostile actions by such a move would be criminal . It would make the removal of the embassy back to Tel Aviv by Trump 's successor send a message we would n't want to send , but would find unavoidable if peace were to be achieved .",0
privatization,"It is important to recognize that if the infrastructure needed to supply that public good is privatized, then the that infrastructure owner has an effective barrier to entry and he can charge whatever he wants - well in excess of a publicly provided service. Keep the land fill, transfer stations, packer trucks etc in public hands. Bid out operations. Otherwise Tony Soprano takes over.","It is important to recognize that if the infrastructure needed to supply that public good is privatized , then the that infrastructure owner has an effective barrier to entry and he can charge whatever he wants - well in excess of a publicly provided service . Keep the land fill , transfer stations , packer trucks etc in public hands . Bid out operations . Otherwise Tony Soprano takes over .",0
tfa,"The only value that a program like TFA provides is to expose privileged, upper middle class young people to the realities of how the other side lives. Hopefully, these people can take this experience with them when they go on to their gilded careers in law, banking, and politics.","The only value that a program like TFA provides is to expose privileged , upper middle class young people to the realities of how the other side lives . Hopefully , these people can take this experience with them when they go on to their gilded careers in law , banking , and politics .",1
airline industry,"Personally I think airlines don't care about any of their workers. They most certainly don't care about the flying public/customer. This is reflected in the faces of all who are shoehorned and buckled into tiny seats. Like all other jobs today we humans are disposable workers, flight attendants included. I can handle a surly or neglectful attendant on occasion for it is a tough, demanding position but we can't let the airlines cut corners on their pilots. This worries me tremendously having worked for the airlines in the past. These mostly highly trained professionals are being abused and not paid decently. Don't get me wrong cabin crews are important but the person in the cockpit can not be marginalized or treated poorly. I think we can all agree that safe, happy and well rested and trained pilots are crucial to the business.","Personally I think airlines do n't care about any of their workers . They most certainly do n't care about the flying public / customer . This is reflected in the faces of all who are shoehorned and buckled into tiny seats . Like all other jobs today we humans are disposable workers , flight attendants included . I can handle a surly or neglectful attendant on occasion for it is a tough , demanding position but we ca n't let the airlines cut corners on their pilots . This worries me tremendously having worked for the airlines in the past . These mostly highly trained professionals are being abused and not paid decently . Do n't get me wrong cabin crews are important but the person in the cockpit can not be marginalized or treated poorly . I think we can all agree that safe , happy and well rested and trained pilots are crucial to the business .",0
casinos,"Wealth is not money. Wealth is hamburgers, cars, buildings, all the things we need to live. To build casino's that simply transfer money from one person to a establishment is not creating anything. It is simply taking advantage of the frailties of the human condition to rob people. A caution however... everything has consequences, to build more Casinos is to invite more debt in the terms of social payments to the newly poor who have dumped their life savings into these black holes. The misery caused is also a real effect but our government seems to to be oblivious to misery caused. It seems to work to perfect it.","Wealth is not money . Wealth is hamburgers , cars , buildings , all the things we need to live . To build casino 's that simply transfer money from one person to a establishment is not creating anything . It is simply taking advantage of the frailties of the human condition to rob people . A caution however ... everything has consequences , to build more Casinos is to invite more debt in the terms of social payments to the newly poor who have dumped their life savings into these black holes . The misery caused is also a real effect but our government seems to to be oblivious to misery caused . It seems to work to perfect it .",0
your cat,"Completely inaccurate. The first sentence I can see from the Facebook link alone is bull. I won't waste my time reading the rest. ""Excessive dog breeding, ear cropping and tail docking are more abusive than declawing a pet cat"". Clearly the author doesn't understand what goes on in a declaw surgery. They're amputating the toe completely so the cat has to walk on the phlanges that are NOT meant to be completely weight-bearing. A dog getting its ears or tail docked I agree is cruel but nowhere near worse than a cat being declawed. Last time I checked a dog's tail and ears aren't what bear all of their body weight when standing. Not to mention the ears are soft tissue that heals over time and has nothing to do with the dog's skeleton. The tail does involve the skeleton but would not have an effect on the dog's overall well-being once done. And excessive dog breeding? That has nothing to do with surgical procedures done on a dog or cat. That's a completely separate issue altogether. Ridiculous article.","Completely inaccurate . The first sentence I can see from the Facebook link alone is bull . I wo n't waste my time reading the rest . "" Excessive dog breeding , ear cropping and tail docking are more abusive than declawing a pet cat "" . Clearly the author does n't understand what goes on in a declaw surgery . They 're amputating the toe completely so the cat has to walk on the phlanges that are NOT meant to be completely weight - bearing . A dog getting its ears or tail docked I agree is cruel but nowhere near worse than a cat being declawed . Last time I checked a dog 's tail and ears are n't what bear all of their body weight when standing . Not to mention the ears are soft tissue that heals over time and has nothing to do with the dog 's skeleton . The tail does involve the skeleton but would not have an effect on the dog 's overall well - being once done . And excessive dog breeding ? That has nothing to do with surgical procedures done on a dog or cat . That 's a completely separate issue altogether . Ridiculous article .",1
airline industry,"So the only other option than the status quo is 1979? I don't buy it. I was on an airline yesterday, there was no room for my 6'3"" frame and my client won't cover 1st class. There needs to be minimum seating standards, and there needs to be a trigger to require the airlines to waive baggage fees if TSA lines are longer than 45 minutes. The airlines were quick with their hands out after 9/11, they won't lift a hand now that they are fat and happy. Some regulation sounds good to me. It doesn't mean Communism, it means common sense.","So the only other option than the status quo is 1979 ? I do n't buy it . I was on an airline yesterday , there was no room for my 6'3 "" frame and my client wo n't cover 1st class . There needs to be minimum seating standards , and there needs to be a trigger to require the airlines to waive baggage fees if TSA lines are longer than 45 minutes . The airlines were quick with their hands out after 9/11 , they wo n't lift a hand now that they are fat and happy . Some regulation sounds good to me . It does n't mean Communism , it means common sense .",0
