topic,argument,tokenized_argument,label
kids,"""One size does not fit all"" is a good sound byte. And trying to make students learn about and take an interest in subjects in which they have little or no interest is difficult. But allowing students to choose to be ignorant by only studying what they want to study is just sheer stupidity. We Americans are already THE most illiterate and ignorant bunch of ""educated"" human beings on the planet. But countries like Russia and China are certainly pleased with ""It's your right ot can be as stupid and ignorant as you want to"" mentality.",""" One size does not fit all "" is a good sound byte . And trying to make students learn about and take an interest in subjects in which they have little or no interest is difficult . But allowing students to choose to be ignorant by only studying what they want to study is just sheer stupidity . We Americans are already THE most illiterate and ignorant bunch of "" educated "" human beings on the planet . But countries like Russia and China are certainly pleased with "" It 's your right ot can be as stupid and ignorant as you want to "" mentality .",1
prostituion,"We've seen how a wild west approach with no laws works - abused children and adults get exploited. At least with a legal system there are some checks and balances to protect the workers, satisfy demand, and ensure a safe work environment for adults. With a legal path, there's an incentive to play by the rules. Those who continue to operate outside of the laws - the traffickers and child abusers - have less cover from the laws and those who enforce them.","We 've seen how a wild west approach with no laws works - abused children and adults get exploited . At least with a legal system there are some checks and balances to protect the workers , satisfy demand , and ensure a safe work environment for adults . With a legal path , there 's an incentive to play by the rules . Those who continue to operate outside of the laws - the traffickers and child abusers - have less cover from the laws and those who enforce them .",0
public workers,"Businesses - big and small - increasingly have a greater say in how the country is run and how we are supposed to live our lives, which I find appalling. A corporate employer can spend exorbitant amounts of money to further trample the civil rights of millions of American LGBT citizens, but can also squash dissent in employees by threatening free speech with termination of employment, which is getting harder and harder to find these days since business won't hire american citizens unless Big/Small Business can be excused from paying taxes to the country whose liberal regulation allowed them such record breaking profits in the first place. A waitress in a restaurant in South (possibly North) Carolina was fired for ridiculing P.I.A customers from her previous shift on her personal facebook page. Speaking out against a company you work for, even in this country (USA), can also lead to immediate termination. Michael Moore stated in his film, Capitalism: A Love Story, that in order to have a true democracy, we the people must have a voice in the workplace and how it's run (same for the financial system), and I agree whole-heartedly.","Businesses - big and small - increasingly have a greater say in how the country is run and how we are supposed to live our lives , which I find appalling . A corporate employer can spend exorbitant amounts of money to further trample the civil rights of millions of American LGBT citizens , but can also squash dissent in employees by threatening free speech with termination of employment , which is getting harder and harder to find these days since business wo n't hire american citizens unless Big / Small Business can be excused from paying taxes to the country whose liberal regulation allowed them such record breaking profits in the first place . A waitress in a restaurant in South ( possibly North ) Carolina was fired for ridiculing P.I.A customers from her previous shift on her personal facebook page . Speaking out against a company you work for , even in this country ( USA ) , can also lead to immediate termination . Michael Moore stated in his film , Capitalism : A Love Story , that in order to have a true democracy , we the people must have a voice in the workplace and how it 's run ( same for the financial system ) , and I agree whole - heartedly .",1
school librarians,"As a school librarian who enjoys working with our local public library system, I think there is a lot to be said for looking at ways for the two to work together more closely to best serve our students, not as a cost-saving measure. Can we deliver better service and aid student achievement by joining up more effectively? But while there is overlap in the goals of public and school libraries, they have a different focus in their staffing and services. In addition, as teachers are asked to do more and more, a school librarian is able to support THEIR training needs and those of students to provide instruction and resources that match their curricular needs. The school librarian provides a fantastic value, reaching every single child and staff member in a school - every program, teacher, administrator, and students of every background and ability are served. Talk about bang for your buck!","As a school librarian who enjoys working with our local public library system , I think there is a lot to be said for looking at ways for the two to work together more closely to best serve our students , not as a cost - saving measure . Can we deliver better service and aid student achievement by joining up more effectively ? But while there is overlap in the goals of public and school libraries , they have a different focus in their staffing and services . In addition , as teachers are asked to do more and more , a school librarian is able to support THEIR training needs and those of students to provide instruction and resources that match their curricular needs . The school librarian provides a fantastic value , reaching every single child and staff member in a school - every program , teacher , administrator , and students of every background and ability are served . Talk about bang for your buck !",1
a gamble,"i go to Aqueduct Casino often, as well as Yonkers, and i see pensioneers, and to my eye apparently people with little disposable income. the surrounding areas of these facilities don't seem to have prospered, similar to AC's situation. there's 2 casinos in local area and i think that's enough to lure those who want to gamble.","i go to Aqueduct Casino often , as well as Yonkers , and i see pensioneers , and to my eye apparently people with little disposable income . the surrounding areas of these facilities do n't seem to have prospered , similar to AC 's situation . there 's 2 casinos in local area and i think that 's enough to lure those who want to gamble .",0
a palestinian state,Does anyone really believe that an independent Palestinian state would remain peaceful or intact for very long? What are the odds of another meltdown in that state in a region that is in chaos at the moment? How would minorities be treated in such a state? What are the odds of it being undermined by fundamentalists? Just asking.,Does anyone really believe that an independent Palestinian state would remain peaceful or intact for very long ? What are the odds of another meltdown in that state in a region that is in chaos at the moment ? How would minorities be treated in such a state ? What are the odds of it being undermined by fundamentalists ? Just asking .,0
motherhood,"I adopted at 40 and have no regrets. But I do wish sometimes that I had the strength I used to have a decade back. A late child allowed me to enjoy my career, travel the world and see all kinds of late night movies/plays and do trekking and a lot of other stuff that a lot of my friends just could not do because they were stuck at home with their babies. So, yes - delaying a baby definitely worked for me. My friends are now sending their kids off to college while I'm still teaching addition n subtraction - true. But I'm a happier person and a better mom because I'm not resenting my kid as the reason for not fulfilling my career ambitions or not having enjoyed my own space.","I adopted at 40 and have no regrets . But I do wish sometimes that I had the strength I used to have a decade back . A late child allowed me to enjoy my career , travel the world and see all kinds of late night movies / plays and do trekking and a lot of other stuff that a lot of my friends just could not do because they were stuck at home with their babies . So , yes - delaying a baby definitely worked for me . My friends are now sending their kids off to college while I 'm still teaching addition n subtraction - true . But I 'm a happier person and a better mom because I 'm not resenting my kid as the reason for not fulfilling my career ambitions or not having enjoyed my own space .",1
government,"How about safety? So many of the conditions in flying today are just too stressful: getting to the airport 3 hours in advance, packing while trying to take into account banned items because of TSA, limited room because of paying to check bags, the increasingly automated check-in - great when the machines work and you know how to work them, the TSA which is completely crazy and out of hand, the seating in the plane - much much too small and getting smaller, dangers of claustrophobia, plane rage, thrombosis, the fight for overhead storage, the disgusting and very limited meals - difficult to bring your own as security seems to be unreliable as to your being able to keep everything you bring (I had a problem with cheese - granted, if melted it would turn into a liquid but really!) - although important, actually paying for the ticket isn't the most stressful part.","How about safety ? So many of the conditions in flying today are just too stressful : getting to the airport 3 hours in advance , packing while trying to take into account banned items because of TSA , limited room because of paying to check bags , the increasingly automated check - in - great when the machines work and you know how to work them , the TSA which is completely crazy and out of hand , the seating in the plane - much much too small and getting smaller , dangers of claustrophobia , plane rage , thrombosis , the fight for overhead storage , the disgusting and very limited meals - difficult to bring your own as security seems to be unreliable as to your being able to keep everything you bring ( I had a problem with cheese - granted , if melted it would turn into a liquid but really ! ) - although important , actually paying for the ticket is n't the most stressful part .",0
capital gains,"When capital gains resulted in true investment, the argument that lowering it spurred economic grow for our nation made some sense. But capital gains in the 21st century arises much more from gambling. Trading equities in micro seconds, electronic trading that churns thousands of shares a second, looking only at todays, or even only at this minutes gain in the is not investment. Such activity isn't based on searching for companies that will do well in the long haul. Even management of pension funds and IRAs is done primarily for the fees charged by the investment managers who don't care it the funds go up or down, only if they get their piece. So actually capital gains tax rate should not be reduced or eliminated. It should be raised to the same rate charde on gasmbling monies sine it is now exactly the same.","When capital gains resulted in true investment , the argument that lowering it spurred economic grow for our nation made some sense . But capital gains in the 21st century arises much more from gambling . Trading equities in micro seconds , electronic trading that churns thousands of shares a second , looking only at todays , or even only at this minutes gain in the is not investment . Such activity is n't based on searching for companies that will do well in the long haul . Even management of pension funds and IRAs is done primarily for the fees charged by the investment managers who do n't care it the funds go up or down , only if they get their piece . So actually capital gains tax rate should not be reduced or eliminated . It should be raised to the same rate charde on gasmbling monies sine it is now exactly the same .",0
a legitimate threat,"All six commentators make valid points. But I'm struck by the fact that none of them discuss the injustice of human beings monopolizing so large a percentage of Earth's habitat and resources, or the resulting ongoing mass extinction of Earth's species. If a particular nation or people were aggressively displacing other nations and peoples, overrunning their land and taking their resources, leaving these others displaced, diminished, even completely exterminated, the world would have no problem calling this behavior by its proper name: genocidal warfare. The modern endless growth economy--dedicated to making ever more people ever wealthier--is interspecies genocide. Its time we ended our war on nature and accepted limits to human numbers and human economic demands.","All six commentators make valid points . But I 'm struck by the fact that none of them discuss the injustice of human beings monopolizing so large a percentage of Earth 's habitat and resources , or the resulting ongoing mass extinction of Earth 's species . If a particular nation or people were aggressively displacing other nations and peoples , overrunning their land and taking their resources , leaving these others displaced , diminished , even completely exterminated , the world would have no problem calling this behavior by its proper name : genocidal warfare . The modern endless growth economy -- dedicated to making ever more people ever wealthier -- is interspecies genocide . Its time we ended our war on nature and accepted limits to human numbers and human economic demands .",0
